u_pca,v_pca,u_moments,v_moments,x_world,y_world
1592,545,1592,545,21.0,7.3500000000000005
796,966,796,966,10.5,12.600000000000001
339,1120,339,1120,4.2,14.700000000000001
1959,317,1960,317,25.200000000000003,4.2
806,309,807,309,10.5,4.2
328,151,328,151,4.2,2.1
1869,1112,1869,1112,24.150000000000002,14.700000000000001
1312,555,1313,555,16.8,7.3500000000000005
1864,229,1864,229,24.150000000000002,3.1500000000000004
979,1208,979,1208,12.600000000000001,15.75
348,389,348,390,4.2,5.25
1062,961,1063,961,13.65,12.600000000000001
893,474,893,474,11.55,6.300000000000001
1129,711,1129,711,14.700000000000001,9.450000000000001
1456,151,1456,151,18.900000000000002,2.1
665,236,665,236,8.4,3.1500000000000004
421,548,421,548,5.25,7.3500000000000005
164,1210,164,1210,2.1,15.75
347,308,347,308,4.2,4.2
1547,966,1548,966,19.95,12.600000000000001
508,632,508,632,6.300000000000001,7.3500000000000005
1145,1275,1145,1275,14.700000000000001,16.8
573,386,574,386,7.3500000000000005,5.25
489,1123,490,1123,6.300000000000001,14.700000000000001
1614,641,1614,641,21.0,8.4
270,468,270,468,3.1500000000000004,6.300000000000001
422,396,422,396,5.25,5.25
1310,388,1311,388,16.8,5.25
1225,632,1225,632,15.75,8.4
1457,1129,1458,1129,18.900000000000002,14.700000000000001
